구분1,Device Name,Base Array,Wafer Name,PKG type,Body Size,FAB,DR,담당자,대리점,고객,지역,25Y 9월,25Y 10월,25Y 11월,25Y 12월,26Y 1월,26Y 2월,26Y 3월,26Y 4월,26Y 5월,26Y 6월,26Y 7월,26Y 8월,26Y 9월,26Y 10월,26Y 11월,26Y 12월,27Y 1월,27Y 2월,27Y 3월,27Y 4월,27Y 5월,27Y 6월,Netdie
26년3월16일 변경,A31C122FRN,A31C122,A31C122,20_TSSOP,173mil,FAB-6,0.07,이재은,Direct,KDC/ONE,해외,,,,,,,,,,,,,,,,,,,,,,,"12,348"
26년3월16일 변경,A31C122KYN,A31C122,A31C122,32_QFN,5x5x0.75T-0.5,FAB-6,0.07,이재은,Philips,Philips,해외,,,,,,,,,,,,,,,,,,,,,,,"12,348"
26년3월16일 변경,A31C144CLN,A31C144,A31C144,48_LQFP,7x7-0.5,FAB-6,0.07,이금란,CCD,YIMI,법인,,,,,,,,,,,,,,,,,,,,,,,"9,280"
26년3월16일 변경,A31C144RN2N,A31C144,A31C144-105,64_LQFP,14x14-0.8,FAB-6,0.07,이금란,FST,MIDEA MWO,법인,,,,,,,,,,,,,10,10,10,10,,,,,,,"9,280"
26년3월16일 변경,A31C144RN2N,A31C144,A31C144-105,64_LQFP,14x14-0.8,FAB-6,0.07,이금란,GRANDFE,MIDEA MWO,법인,,,,,,,,,,,,,,,,,,,,,,,"9,280"
26년3월16일 변경,A31C144SN2N,A31C144C,A31C144C-105,44_LQFP,10x10-0.8,FAB-6,0.07,이금란,THK,Deye,법인,,,,,,,,1,,5,10,10,10,10,20,20,,,,,,,"9,280"
26년3월16일 변경,A31C156SNN,(비어 있음),#N/A,#N/A,#N/A,(비어 있음),(비어 있음),이금란,THK,Deye,법인,,,,,,,,,,,,,5,5,5,5,,,,,,,#N/A
26년3월16일 변경,A31E012KNN,A31G112G,A31G112G-85,32_LQFP_C/M,7x7-0.8,F-4,0.13,이금란,MISSION,CLICK,법인,,,,,,,,,,,,,,,,,,,,,,,"7,632"
26년3월16일 변경,A31G111LUN,A31G112G,A31G112G-85,24_QFN,4x4x0.75T-0.5,F-4,0.13,남궁윤,(주)그린칩스,루나엔텍,영업3팀,,,,,,,,,,,,,,,,,,,,,,,"7,632"
26년3월16일 변경,A31G111LUN,A31G112G,A31G112G-85,24_QFN,4x4x0.75T-0.5,F-4,0.13,남궁윤,이데아아이앤씨주식회사,언일전자,영업3팀,,,,,,,,,,,10,10,10,10,10,,,,,,,,"7,632"
26년3월16일 변경,A31G111LUN,A31G112G,A31G112G-85,24_QFN,4x4x0.75T-0.5,F-4,0.13,남궁윤,주식회사 세일테크놀러지,삼원하이텍,영업3팀,,,,,,,5,,10,10,5,5,5,5,5,5,,,,,,,"7,632"
26년3월16일 변경,A31G111LUN,A31G112G,A31G112G-85,24_QFN,4x4x0.75T-0.5,F-4,0.13,남궁윤,주식회사 세일테크놀러지,하나콘트롤,영업3팀,,,,,,,,,,,,,,,,,,,,,,,"7,632"
26년3월16일 변경,A31G111LUN(T),A31G112G,A31G112G-85,24_QFN(T),4x4x0.75T-0.5,F-4,0.13,남궁윤,(주)그린칩스,스카이랩스,영업3팀,,,,,,,,,,,,,,,,,,,,,,,"7,632"
